Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/get_method,500,395,92,3130,"477,65","0,000%","126,77485","23,40","18,82","189,0"
/user_info_2,500,517,97,4910,"616,45","0,000%","92,59259","43,04","22,52","476,0"
/user_info_3,500,457,96,3190,"493,84","0,000%","92,60974","34,73","22,52","384,0"
/object_info_1,500,484,93,3194,"574,68","0,000%","91,72629","22,30","14,78","249,0"
/object_info_2,500,415,92,4910,"475,32","0,000%","93,38812","43,41","15,23","476,0"
/object_info_3,500,329,93,3124,"402,54","0,000%","95,63887","49,97","15,60","535,0"
/object_info_4,500,308,91,3125,"387,08","0,000%","98,02000","24,31","15,99","254,0"
TOTAL,3500,415,91,4910,"500,89","0,000%","575,18488","205,66","105,60","366,1"
