Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/get_method,250,207,91,1194,"184,57","0,000%","116,71335","21,54","17,32","189,0"
/user_info_2,250,208,91,1179,"156,67","0,000%","114,41648","53,19","27,82","476,0"
/user_info_3,250,223,93,1188,"173,57","0,000%","113,58473","42,59","27,62","384,0"
/object_info_1,250,211,92,1182,"137,23","0,000%","113,84335","27,68","18,34","249,0"
/object_info_2,250,206,95,1185,"132,56","0,000%","113,73976","52,87","18,55","476,0"
/object_info_3,250,199,91,1176,"119,83","0,000%","114,10315","59,61","18,61","535,0"
/object_info_4,250,195,92,1190,"166,99","0,000%","118,93435","29,50","19,40","254,0"
TOTAL,1750,207,91,1194,"154,86","0,000%","622,55425","222,60","114,30","366,1"
